year,province,party,votes,seats
2015b,Karaman,chp,22749,0
2015b,Karaman,dem,1934,0
2015b,Karaman,sp,1446,0
2015b,Kars,akp,52456,2
2015b,Kars,dem,49334,1
2015b,Kars,chp,21954,0
2015b,Kars,mhp,17857,0
2015b,Kastamonu,akp,141315,3
2015b,Kastamonu,mhp,43802,0
2015b,Kastamonu,chp,40015,0
2015b,Kastamonu,dem,2016,0
2015b,Kastamonu,bbp,1741,0
2015b,Kastamonu,sp,1434,0
2015b,Kayseri,akp,541237,7
2015b,Kayseri,mhp,149622,1
2015b,Kayseri,chp,102309,1
2015b,Kayseri,dem,14425,0
2015b,Kayseri,bbp,7281,0
2015b,Kayseri,sp,6137,0
2015b,Kayseri,other,1020,0
2015b,Kırıkkale,akp,105031,3
2015b,Kırıkkale,mhp,34629,0
2015b,Kırıkkale,chp,23160,0
2015b,Kırıkkale,dem,1912,0
2015b,Kırıkkale,bbp,1303,0
2015b,Kırıkkale,sp,1213,0
2015b,Kırklareli,chp,130492,2
2015b,Kırklareli,akp,67875,1
2015b,Kırklareli,mhp,29233,0
2015b,Kırklareli,dem,5379,0
2015b,Kırklareli,other,1240,0
2015b,Kırşehir,akp,69874,2
2015b,Kırşehir,mhp,32760,0
2015b,Kırşehir,chp,24547,0
2015b,Kırşehir,dem,6942,0
2015b,Kilis,akp,44981,2
2015b,Kilis,mhp,12434,0
2015b,Kilis,chp,8453,0
2015b,Kilis,dem,1378,0
2015b,Kocaeli,akp,638266,7
2015b,Kocaeli,chp,262793,3
2015b,Kocaeli,mhp,125827,1
2015b,Kocaeli,dem,66247,0
2015b,Kocaeli,sp,18079,0
2015b,Kocaeli,bbp,6426,0
2015b,Kocaeli,other,1653,0
2015b,Kocaeli,dp,1556,0
2015b,Konya,akp,957770,12
2015b,Konya,mhp,146050,1
2015b,Konya,chp,121209,1
2015b,Konya,dem,40094,0
2015b,Konya,sp,11461,0
2015b,Konya,bbp,7019,0
2015b,Konya,other,1330,0
2015b,Konya,dp,1597,0
2015b,Kütahya,akp,256830,4
2015b,Kütahya,mhp,59535,0
2015b,Kütahya,chp,47614,0
2015b,Kütahya,sp,4890,0
2015b,Kütahya,dem,3635,0
2015b,Kütahya,bbp,2767,0
2015b,Kütahya,dp,1415,0
2015b,Malatya,akp,316242,5
2015b,Malatya,chp,71872,1
2015b,Malatya,mhp,43035,0
2015b,Malatya,dem,27872,0
2015b,Malatya,sp,2677,0
2015b,Malatya,bbp,2278,0
2015b,Manisa,akp,407754,5
2015b,Manisa,chp,270096,3
2015b,Manisa,mhp,162576,1
2015b,Manisa,dem,52678,0
2015b,Manisa,bbp,5493,0
2015b,Manisa,sp,4993,0
2015b,Manisa,dp,2830,0
2015b,Manisa,other,1888,0
2015b,Mardin,dem,260283,4
2015b,Mardin,akp,113670,2
2015b,Mardin,chp,6800,0
2015b,Mardin,mhp,3703,0
2015b,Mardin,bbp,1068,0
2015b,Mersin,akp,341999,4
2015b,Mersin,chp,324382,4
2015b,Mersin,mhp,226284,2
2015b,Mersin,dem,162141,1
2015b,Mersin,bbp,4431,0
2015b,Mersin,sp,3910,0
2015b,Mersin,other,1978,0
2015b,Mersin,dp,1406,0
2015b,Muğla,chp,281261,3
2015b,Muğla,akp,181208,2
2015b,Muğla,mhp,87240,1
2015b,Muğla,dem,26202,0
2015b,Muğla,other,1169,0
2015b,Muğla,dp,2615,0
2015b,Muğla,bbp,2360,0
2015b,Muğla,sp,1551,0
2015b,Muş,dem,113642,2
2015b,Muş,akp,64599,1
2015b,Muş,chp,3245,0
2015b,Muş,mhp,2709,0
2015b,Muş,bbp,1025,0
2015b,Nevşehir,akp,113609,3
2015b,Nevşehir,mhp,32760,0
2015b,Nevşehir,chp,27614,0
2015b,Nevşehir,dem,2515,0
2015b,Nevşehir,bbp,1425,0
2015b,Nevşehir,sp,1285,0
2015b,Niğde,akp,113638,2
2015b,Niğde,chp,40372,1
2015b,Niğde,mhp,36796,0
2015b,Niğde,dem,2361,0
2015b,Niğde,sp,1515,0
2015b,Niğde,bbp,1328,0
2015b,Ordu,akp,283681,4
2015b,Ordu,chp,109114,1
2015b,Ordu,mhp,42063,0
2015b,Ordu,dem,4047,0
2015b,Ordu,sp,3228,0
2015b,Ordu,bbp,2007,0
2015b,Ordu,other,1088,0
2015b,Osmaniye,akp,137119,2
2015b,Osmaniye,mhp,98737,2
2015b,Osmaniye,chp,39812,0
2015b,Osmaniye,dem,8979,0
2015b,Osmaniye,bbp,1731,0
2015b,Osmaniye,sp,1467,0
2015b,Rize,akp,156051,3
2015b,Rize,chp,30883,0
2015b,Rize,mhp,11212,0
2015b,Rize,sp,3025,0
2015b,Rize,dem,2162,0
2015b,Rize,bbp,1125,0
2015b,Sakarya,akp,408200,5
2015b,Sakarya,chp,93485,1
2015b,Sakarya,mhp,73431,1
2015b,Sakarya,dem,12889,0
2015b,Sakarya,sp,7942,0
2015b,Sakarya,bbp,3486,0
2015b,Sakarya,other,1113,0
2015b,Samsun,akp,514071,6
2015b,Samsun,chp,164520,2
2015b,Samsun,mhp,99977,1
2015b,Samsun,dem,8983,0
2015b,Samsun,sp,7382,0
2015b,Samsun,bbp,4649,0
2015b,Samsun,dp,2122,0
2015b,Samsun,other,1577,0
2015b,Siirt,dem,82406,2
2015b,Siirt,akp,53585,1
2015b,Siirt,chp,2949,0
2015b,Siirt,mhp,2380,0
2015b,Sinop,akp,73749,1
2015b,Sinop,chp,38531,1
2015b,Sinop,mhp,11341,0
2015b,Sinop,dem,1684,0
2015b,Sinop,sp,1085,0
2015b,Sivas,akp,262690,4
2015b,Sivas,chp,56921,1
2015b,Sivas,mhp,44996,0
2015b,Sivas,bbp,7683,0
2015b,Sivas,dem,5267,0
2015b,Sivas,sp,3229,0
2015b,Şanlıurfa,akp,531554,9
2015b,Şanlıurfa,dem,232846,3
2015b,Şanlıurfa,chp,25328,0
2015b,Şanlıurfa,mhp,23669,0
2015b,Şanlıurfa,bbp,3241,0
2015b,Şanlıurfa,sp,3091,0
2015b,Şanlıurfa,other,1460,0
2015b,Şırnak,dem,184397,4
2015b,Şırnak,akp,27148,0
2015b,Şırnak,chp,3275,0
2015b,Şırnak,mhp,3082,0
2015b,Tekirdağ,chp,270062,3
2015b,Tekirdağ,akp,226669,3
2015b,Tekirdağ,mhp,61209,0
2015b,Tekirdağ,dem,28413,0
2015b,Tekirdağ,sp,2976,0
2015b,Tekirdağ,bbp,2579,0
2015b,Tekirdağ,other,1036,0
2015b,Tekirdağ,dp,1077,0
2015b,Tokat,akp,217673,4
2015b,Tokat,chp,80701,1
2015b,Tokat,mhp,53674,0
2015b,Tokat,dem,4371,0
2015b,Tokat,sp,3320,0
2015b,Tokat,bbp,2279,0
2015b,Trabzon,akp,322516,5
2015b,Trabzon,chp,79379,1
2015b,Trabzon,mhp,62711,0
2015b,Trabzon,sp,6748,0
2015b,Trabzon,dem,4792,0
2015b,Trabzon,bbp,2362,0
2015b,Trabzon,other,1157,0
2015b,Trabzon,dp,1118,0
2015b,Tunceli,dem,28133,1
2015b,Tunceli,chp,14320,1
2015b,Tunceli,akp,6612,0
2015b,Tunceli,mhp,1390,0
2015b,Uşak,akp,109524,2
2015b,Uşak,chp,70219,1
2015b,Uşak,mhp,41812,0
2015b,Uşak,dem,5156,0
2015b,Uşak,sp,1715,0
2015b,Uşak,bbp,1303,0
2015b,Van,dem,313177,6
2015b,Van,akp,149796,2
2015b,Van,chp,9095,0
2015b,Van,mhp,6351,0
2015b,Van,bbp,2292,0
2015b,Van,sp,2198,0
2015b,Van,other,1760,0
2015b,Yalova,akp,70993,1
2015b,Yalova,chp,45040,1
2015b,Yalova,mhp,14142,0
2015b,Yalova,dem,9833,0
2015b,Yalova,sp,1212,0
2015b,Yozgat,akp,161396,4
2015b,Yozgat,mhp,30853,0
2015b,Yozgat,other,28664,0
2015b,Yozgat,chp,19006,0
2015b,Yozgat,dem,2424,0
2015b,Yozgat,bbp,1477,0
2015b,Yozgat,sp,1293,0
2015b,Zonguldak,akp,191087,3
2015b,Zonguldak,chp,138396,2
2015b,Zonguldak,mhp,36494,0
2015b,Zonguldak,sp,5317,0
2015b,Zonguldak,dem,4808,0
2015b,Zonguldak,bbp,2621,0
2015b,Zonguldak,other,1080,0
2015b,Zonguldak,dp,1174,0
2015b,Zonguldak,dsp,1110,0
